idx	wavile	kind	segment	sentenceidx	wordidx	phonemeidx	timemeg	timeds	timechapter	timesentence	duration
48	segments/	phoneme	ih_B	1.0	1.0	0.0	33.972	33.972	5.159999999999999	0.22	0.06
49	segments/	phoneme	z_E	1.0	1.0	1.0	34.032000000000004	34.032	5.22	0.28	0.05
50	segments/	word	a	1.0	2.0		34.082	34.08	5.27	0.33	0.08
51	segments/	phoneme	ah_S	1.0	2.0	0.0	34.082	34.08	5.27	0.33	0.08
52	segments/	word	LibriVox	1.0	3.0		34.172000000000004	34.172	5.359999999999999	0.42	0.49
53	segments/	phoneme	oov_S	1.0	3.0	0.0	34.172000000000004	34.172	5.359999999999999	0.42	0.49
54	segments/	word	recording	1.0	4.0		34.662	34.66	5.85	0.91	0.49
55	segments/	phoneme	r_B	1.0	4.0	0.0	34.662	34.66	5.85	0.91	0.01
56	segments/	phoneme	ih_I	1.0	4.0	1.0	34.672000000000004	34.672	5.859999999999999	0.92	0.06
57	segments/	phoneme	k_I	1.0	4.0	2.0	34.732	34.732	5.92	0.98	0.08
58	segments/	phoneme	ao_I	1.0	4.0	3.0	34.812000000000005	34.812	6.0	1.06	0.07
59	segments/	phoneme	r_I	1.0	4.0	4.0	34.882000000000005	34.884	6.069999999999999	1.1300000000000001	0.02
60	segments/	phoneme	d_I	1.0	4.0	5.0	34.902	34.9	6.09	1.1500000000000001	0.06
61	segments/	phoneme	ih_I	1.0	4.0	6.0	34.962	34.964	6.1499999999999995	1.2100000000000002	0.06
62	segments/	phoneme	ng_E	1.0	4.0	7.0	35.022000000000006	35.024	6.21	1.2700000000000002	0.13
63	segments/	silence					35.228	35.228	6.407		0.214
64	segments/	word	All	2.0	0.0		35.566	35.568	6.731000000000001	0.11	0.32
65	segments/	phoneme	ao_B	2.0	0.0	0.0	35.566	35.568	6.731000000000001	0.11	0.17
66	segments/	phoneme	l_E	2.0	0.0	1.0	35.736000000000004	35.736	6.901000000000001	0.28	0.15
67	segments/	word	LibriVox	2.0	1.0		35.886	35.888	7.051	0.43	0.49
68	segments/	phoneme	oov_S	2.0	1.0	0.0	35.886	35.888	7.051	0.43	0.49
69	segments/	word	recordings	2.0	2.0		36.376000000000005	36.376	7.541	0.92	0.52
70	segments/	phoneme	r_B	2.0	2.0	0.0	36.376000000000005	36.376	7.541	0.92	0.01
71	segments/	phoneme	ih_I	2.0	2.0	1.0	36.386	36.388	7.551	0.93	0.05
72	segments/	phoneme	k_I	2.0	2.0	2.0	36.436	36.436	7.601000000000001	0.9800000000000001	0.08
73	segments/	phoneme	ao_I	2.0	2.0	3.0	36.516000000000005	36.516	7.681000000000001	1.06	0.06
74	segments/	phoneme	r_I	2.0	2.0	4.0	36.576	36.576	7.7410000000000005	1.12	0.04
75	segments/	phoneme	d_I	2.0	2.0	5.0	36.616	36.616	7.781000000000001	1.1600000000000001	0.05
76	segments/	phoneme	ih_I	2.0	2.0	6.0	36.666000000000004	36.668	7.831	1.2100000000000002	0.07
77	segments/	phoneme	ng_I	2.0	2.0	7.0	36.736000000000004	36.736	7.901000000000001	1.2800000000000002	0.09
78	segments/	phoneme	z_E	2.0	2.0	8.0	36.826	36.824	7.9910000000000005	1.3700000000000003	0.07
79	segments/	word	are	2.0	3.0		36.896	36.896	8.061	1.44	0.12
80	segments/	phoneme	aa_B	2.0	3.0	0.0	36.896	36.896	8.061	1.44	0.06
81	segments/	phoneme	r_E	2.0	3.0	1.0	36.956	36.956	8.121	1.5	0.06
82	segments/	word	in	2.0	4.0		37.016000000000005	37.016	8.181000000000001	1.56	0.09
83	segments/	phoneme	ih_B	2.0	4.0	0.0	37.016000000000005	37.016	8.181000000000001	1.56	0.05
84	segments/	phoneme	n_E	2.0	4.0	1.0	37.066	37.068	8.231	1.61	0.04
85	segments/	word	the	2.0	5.0		37.106	37.108	8.271	1.65	0.09
86	segments/	phoneme	dh_B	2.0	5.0	0.0	37.106	37.108	8.271	1.65	0.05
87	segments/	phoneme	ah_E	2.0	5.0	1.0	37.156000000000006	37.156	8.321	1.7	0.04
88	segments/	word	public	2.0	6.0		37.196000000000005	37.196	8.361	1.74	0.32
89	segments/	phoneme	p_B	2.0	6.0	0.0	37.196000000000005	37.196	8.361	1.74	0.07
90	segments/	phoneme	ah_I	2.0	6.0	1.0	37.266000000000005	37.268	8.431000000000001	1.81	0.08
91	segments/	phoneme	b_I	2.0	6.0	2.0	37.346000000000004	37.348	8.511000000000001	1.8900000000000001	0.01
92	segments/	phoneme	l_I	2.0	6.0	3.0	37.356	37.356	8.521	1.9000000000000001	0.04
93	segments/	phoneme	ih_I	2.0	6.0	4.0	37.396	37.396	8.561	1.9400000000000002	0.05
94	segments/	phoneme	k_E	2.0	6.0	5.0	37.446000000000005	37.448	8.611	1.9900000000000002	0.07
95	segments/	word	domain	2.0	7.0		37.516000000000005	37.516	8.681000000000001	2.06	0.41
96	segments/	phoneme	d_B	2.0	7.0	0.0	37.516000000000005	37.516	8.681000000000001	2.06	0.03
97	segments/	phoneme	ow_I	2.0	7.0	1.0	37.54600000000001	37.548	8.711	2.09	0.07
98	segments/	phoneme	m_I	2.0	7.0	2.0	37.616	37.616	8.781	2.1599999999999997	0.06
99	segments/	phoneme	ey_I	2.0	7.0	3.0	37.676	37.676	8.841000000000001	2.2199999999999998	0.13
100	segments/	phoneme	n_E	2.0	7.0	4.0	37.806000000000004	37.808	8.971	2.3499999999999996	0.12
101	segments/	silence					38.0	38.0	9.148		0.648
102	segments/	word	For	3.0	0.0		38.656	38.656	9.796	0.0	0.16
103	segments/	phoneme	f_B	3.0	0.0	0.0	38.656	38.656	9.796	0.0	0.11
104	segments/	phoneme	er_E	3.0	0.0	1.0	38.766	38.764	9.905999999999999	0.11	0.05
105	segments/	word	more	3.0	1.0		38.815999999999995	38.816	9.956	0.16	0.21
106	segments/	phoneme	m_B	3.0	1.0	0.0	38.815999999999995	38.816	9.956	0.16	0.07
107	segments/	phoneme	ao_I	3.0	1.0	1.0	38.885999999999996	38.884	10.026	0.23	0.08
108	segments/	phoneme	r_E	3.0	1.0	2.0	38.966	38.964	10.106	0.31	0.06
109	segments/	word	information	3.0	2.0		39.025999999999996	39.024	10.165999999999999	0.37	0.66
110	segments/	phoneme	ih_B	3.0	2.0	0.0	39.025999999999996	39.024	10.165999999999999	0.37	0.05
111	segments/	phoneme	n_I	3.0	2.0	1.0	39.076	39.076	10.216	0.42	0.04
112	segments/	phoneme	f_I	3.0	2.0	2.0	39.116	39.116	10.256	0.45999999999999996	0.05
113	segments/	phoneme	er_I	3.0	2.0	3.0	39.166	39.164	10.306	0.51	0.04
114	segments/	phoneme	m_I	3.0	2.0	4.0	39.205999999999996	39.204	10.346	0.55	0.08
115	segments/	phoneme	ey_I	3.0	2.0	5.0	39.286	39.288	10.426	0.63	0.1
116	segments/	phoneme	sh_I	3.0	2.0	6.0	39.385999999999996	39.384	10.526	0.73	0.12
117	segments/	phoneme	ah_I	3.0	2.0	7.0	39.506	39.504	10.645999999999999	0.85	0.09
118	segments/	phoneme	n_E	3.0	2.0	8.0	39.596	39.596	10.735999999999999	0.94	0.09
119	segments/	word	or	3.0	3.0		39.686	39.684	10.825999999999999	1.03	0.12
120	segments/	phoneme	ao_B	3.0	3.0	0.0	39.686	39.684	10.825999999999999	1.03	0.07
121	segments/	phoneme	r_E	3.0	3.0	1.0	39.756	39.756	10.895999999999999	1.1	0.05
122	segments/	word	to	3.0	4.0		39.806	39.804	10.946	1.15	0.1
123	segments/	phoneme	t_B	3.0	4.0	0.0	39.806	39.804	10.946	1.15	0.05
124	segments/	phoneme	ah_E	3.0	4.0	1.0	39.856	39.856	10.995999999999999	1.2	0.05
125	segments/	word	volunteer	3.0	5.0		39.906	39.904	11.046	1.25	0.65
126	segments/	phoneme	v_B	3.0	5.0	0.0	39.906	39.904	11.046	1.25	0.07
127	segments/	phoneme	aa_I	3.0	5.0	1.0	39.976	39.976	11.116	1.32	0.05
128	segments/	phoneme	l_I	3.0	5.0	2.0	40.025999999999996	40.024	11.166	1.37	0.06
129	segments/	phoneme	ah_I	3.0	5.0	3.0	40.086	40.084	11.225999999999999	1.4300000000000002	0.04
130	segments/	phoneme	n_I	3.0	5.0	4.0	40.126	40.124	11.266	1.4700000000000002	0.06
131	segments/	phoneme	t_I	3.0	5.0	5.0	40.186	40.184	11.326	1.5300000000000002	0.05
132	segments/	phoneme	ih_I	3.0	5.0	6.0	40.236	40.236	11.376	1.5800000000000003	0.13
133	segments/	phoneme	r_E	3.0	5.0	7.0	40.366	40.364	11.506	1.7100000000000004	0.19
134	segments/	silence					40.556	40.556	11.696	1.9	0.34
135	segments/	word	please	3.0	6.0		40.896	40.896	12.036	2.24	0.3
136	segments/	phoneme	p_B	3.0	6.0	0.0	40.896	40.896	12.036	2.24	0.07
137	segments/	phoneme	l_I	3.0	6.0	1.0	40.966	40.964	12.106	2.31	0.06
138	segments/	phoneme	iy_I	3.0	6.0	2.0	41.025999999999996	41.024	12.166	2.37	0.09
139	segments/	phoneme	z_E	3.0	6.0	3.0	41.116	41.116	12.256	2.46	0.08
140	segments/	word	visit	3.0	7.0		41.196	41.196	12.335999999999999	2.54	0.43
141	segments/	phoneme	v_B	3.0	7.0	0.0	41.196	41.196	12.335999999999999	2.54	0.06
142	segments/	phoneme	ih_I	3.0	7.0	1.0	41.256	41.256	12.395999999999999	2.6	0.07
143	segments/	phoneme	z_I	3.0	7.0	2.0	41.326	41.324	12.466	2.67	0.05
144	segments/	phoneme	ih_I	3.0	7.0	3.0	41.376	41.376	12.515999999999998	2.7199999999999998	0.05
145	segments/	phoneme	t_E	3.0	7.0	4.0	41.426	41.428	12.565999999999999	2.7699999999999996	0.2
146	segments/	word	LibriVox	3.0	8.0		41.696	41.696	12.835999999999999	3.04	0.72
147	segments/	phoneme	oov_S	3.0	8.0	0.0	41.696	41.696	12.835999999999999	3.04	0.72
148	segments/	word	dot	3.0	9.0		42.426	42.428	13.565999999999999	3.77	0.18
149	segments/	phoneme	d_B	3.0	9.0	0.0	42.426	42.428	13.565999999999999	3.77	0.05
150	segments/	phoneme	aa_I	3.0	9.0	1.0	42.476	42.476	13.616	3.82	0.06
151	segments/	phoneme	t_E	3.0	9.0	2.0	42.536	42.536	13.675999999999998	3.88	0.07
152	segments/	word	org	3.0	10.0		42.626	42.624	13.766	3.97	0.46
153	segments/	phoneme	ao_B	3.0	10.0	0.0	42.626	42.624	13.766	3.97	0.24
154	segments/	phoneme	r_I	3.0	10.0	1.0	42.866	42.864	14.006	4.21	0.02
155	segments/	phoneme	g_E	3.0	10.0	2.0	42.885999999999996	42.884	14.026	4.2299999999999995	0.2
156	segments/	silence					43.136	43.136	14.264		1.236
157	segments/	word	A	4.0	0.0		44.478	44.48	15.59	0.09	0.11
158	segments/	phoneme	ah_S	4.0	0.0	0.0	44.478	44.48	15.59	0.09	0.11
159	segments/	word	Study	4.0	1.0		44.588	44.588	15.7	0.2	0.44
160	segments/	phoneme	s_B	4.0	1.0	0.0	44.588	44.588	15.7	0.2	0.09
161	segments/	phoneme	t_I	4.0	1.0	1.0	44.678	44.676	15.79	0.29000000000000004	0.08
162	segments/	phoneme	ah_I	4.0	1.0	2.0	44.757999999999996	44.756	15.87	0.37000000000000005	0.08
163	segments/	phoneme	d_I	4.0	1.0	3.0	44.838	44.836	15.95	0.45000000000000007	0.06
164	segments/	phoneme	iy_E	4.0	1.0	4.0	44.897999999999996	44.896	16.01	0.51	0.13
165	segments/	word	in	4.0	2.0		45.038	45.036	16.15	0.65	0.17
166	segments/	phoneme	ih_B	4.0	2.0	0.0	45.038	45.036	16.15	0.65	0.08
167	segments/	phoneme	n_E	4.0	2.0	1.0	45.117999999999995	45.116	16.23	0.73	0.09
168	segments/	word	Scarlet	4.0	3.0		45.208	45.208	16.32	0.82	0.64
169	segments/	phoneme	s_B	4.0	3.0	0.0	45.208	45.208	16.32	0.82	0.1
170	segments/	phoneme	k_I	4.0	3.0	1.0	45.308	45.308	16.42	0.9199999999999999	0.07
171	segments/	phoneme	aa_I	4.0	3.0	2.0	45.378	45.376	16.49	0.99	0.07
172	segments/	phoneme	r_I	4.0	3.0	3.0	45.448	45.448	16.56	1.06	0.03
173	segments/	phoneme	l_I	4.0	3.0	4.0	45.478	45.48	16.59	1.09	0.08
174	segments/	phoneme	ah_I	4.0	3.0	5.0	45.558	45.556	16.67	1.1700000000000002	0.08
175	segments/	phoneme	t_E	4.0	3.0	6.0	45.638	45.636	16.75	1.2500000000000002	0.21
176	segments/	word	by	4.0	4.0		45.988	45.988	17.1	1.6	0.3
177	segments/	phoneme	b_B	4.0	4.0	0.0	45.988	45.988	17.1	1.6	0.16
178	segments/	phoneme	ay_E	4.0	4.0	1.0	46.147999999999996	46.148	17.26	1.76	0.14
179	segments/	word	Sir	4.0	5.0		46.288	46.288	17.4	1.9	0.26
180	segments/	phoneme	s_B	4.0	5.0	0.0	46.288	46.288	17.4	1.9	0.11
181	segments/	phoneme	er_E	4.0	5.0	1.0	46.397999999999996	46.396	17.509999999999998	2.01	0.15
182	segments/	word	Arthur	4.0	6.0		46.558	46.556	17.67	2.17	0.33
183	segments/	phoneme	aa_B	4.0	6.0	0.0	46.558	46.556	17.67	2.17	0.13
184	segments/	phoneme	r_I	4.0	6.0	1.0	46.687999999999995	46.688	17.8	2.3	0.01
185	segments/	phoneme	th_I	4.0	6.0	2.0	46.698	46.696	17.81	2.3099999999999996	0.13
186	segments/	phoneme	er_E	4.0	6.0	3.0	46.827999999999996	46.828	17.939999999999998	2.4399999999999995	0.06
187	segments/	word	Conan	4.0	7.0		46.888	46.888	18.0	2.5	0.37
188	segments/	phoneme	k_B	4.0	7.0	0.0	46.888	46.888	18.0	2.5	0.1
189	segments/	phoneme	ow_I	4.0	7.0	1.0	46.988	46.988	18.1	2.6	0.09
190	segments/	phoneme	n_I	4.0	7.0	2.0	47.077999999999996	47.076	18.19	2.69	0.06
191	segments/	phoneme	ah_I	4.0	7.0	3.0	47.138	47.136	18.25	2.75	0.05
192	segments/	phoneme	n_E	4.0	7.0	4.0	47.187999999999995	47.188	18.3	2.8	0.07
193	segments/	word	Doyle	4.0	8.0		47.257999999999996	47.256	18.37	2.87	0.22
194	segments/	phoneme	d_B	4.0	8.0	0.0	47.257999999999996	47.256	18.37	2.87	0.08
195	segments/	phoneme	oy_I	4.0	8.0	1.0	47.338	47.336	18.45	2.95	0.13
196	segments/	phoneme	l_E	4.0	8.0	2.0	47.467999999999996	47.468	18.58	3.08	0.01
197	segments/	silence					47.648	47.648	18.748		0.864
198	segments/	word	Part	5.0	0.0		48.604	48.604	19.692	0.08	0.28
199	segments/	phoneme	p_B	5.0	0.0	0.0	48.604	48.604	19.692	0.08	0.07
200	segments/	phoneme	aa_I	5.0	0.0	1.0	48.674	48.672	19.762	0.15000000000000002	0.1
201	segments/	phoneme	r_I	5.0	0.0	2.0	48.774	48.772	19.862000000000002	0.25	0.03
202	segments/	phoneme	t_E	5.0	0.0	3.0	48.804	48.804	19.892000000000003	0.28	0.08
203	segments/	word	one	5.0	1.0		48.904	48.904	19.992	0.38	0.36
204	segments/	phoneme	w_B	5.0	1.0	0.0	48.904	48.904	19.992	0.38	0.09
205	segments/	phoneme	ah_I	5.0	1.0	1.0	48.994	48.992	20.082	0.47	0.1
206	segments/	phoneme	n_E	5.0	1.0	2.0	49.094	49.096	20.182000000000002	0.57	0.17
207	segments/	silence					49.324	49.324	20.404000000000003		0.864
208	segments/	word	Chapter	6.0	0.0		50.21	50.208	21.278000000000006	0.01	0.42
209	segments/	phoneme	ch_B	6.0	0.0	0.0	50.21	50.208	21.278000000000006	0.01	0.16
210	segments/	phoneme	ae_I	6.0	0.0	1.0	50.370000000000005	50.372	21.438000000000006	0.17	0.06
211	segments/	phoneme	p_I	6.0	0.0	2.0	50.43	50.428	21.498000000000005	0.23	0.06
212	segments/	phoneme	t_I	6.0	0.0	3.0	50.49	50.492	21.558000000000003	0.29000000000000004	0.08
213	segments/	phoneme	er_E	6.0	0.0	4.0	50.57	50.568	21.638000000000005	0.37000000000000005	0.06
214	segments/	word	one	6.0	1.0		50.63	50.632	21.698000000000004	0.43	0.35
215	segments/	phoneme	w_B	6.0	1.0	0.0	50.63	50.632	21.698000000000004	0.43	0.1
216	segments/	phoneme	ah_I	6.0	1.0	1.0	50.730000000000004	50.732	21.798000000000005	0.53	0.09
217	segments/	phoneme	n_E	6.0	1.0	2.0	50.82	50.82	21.888000000000005	0.62	0.16
218	segments/	silence					51.052	51.052	22.108000000000004		0.808
219	segments/	word	Mr	7.0	0.0		51.968	51.968	23.016000000000005	0.1	0.5
220	segments/	phoneme	m_B	7.0	0.0	0.0	51.968	51.968	23.016000000000005	0.1	0.09
221	segments/	phoneme	ih_I	7.0	0.0	1.0	52.058	52.056	23.106000000000005	0.19	0.06
222	segments/	phoneme	s_I	7.0	0.0	2.0	52.118	52.12	23.166000000000004	0.25	0.08
223	segments/	phoneme	t_I	7.0	0.0	3.0	52.198	52.196	23.246000000000002	0.33	0.08
224	segments/	phoneme	er_E	7.0	0.0	4.0	52.278	52.276	23.326000000000004	0.41000000000000003	0.19
225	segments/	word	Sherlock	7.0	1.0		52.558	52.556	23.606000000000005	0.69	0.51
226	segments/	phoneme	sh_B	7.0	1.0	0.0	52.558	52.556	23.606000000000005	0.69	0.2
227	segments/	phoneme	er_I	7.0	1.0	1.0	52.758	52.76	23.806000000000004	0.8899999999999999	0.07
228	segments/	phoneme	l_I	7.0	1.0	2.0	52.828	52.828	23.876000000000005	0.96	0.09
229	segments/	phoneme	aa_I	7.0	1.0	3.0	52.918	52.916	23.966000000000005	1.05	0.05
230	segments/	phoneme	k_E	7.0	1.0	4.0	52.968	52.968	24.016000000000005	1.1	0.1
231	segments/	word	Holmes	7.0	2.0		53.068000000000005	53.068	24.116000000000003	1.2	0.36
232	segments/	phoneme	hh_B	7.0	2.0	0.0	53.068000000000005	53.068	24.116000000000003	1.2	0.06
233	segments/	phoneme	ow_I	7.0	2.0	1.0	53.128	53.128	24.176000000000005	1.26	0.12
234	segments/	phoneme	m_I	7.0	2.0	2.0	53.248000000000005	53.248	24.296000000000003	1.38	0.14
235	segments/	phoneme	z_E	7.0	2.0	3.0	53.388000000000005	53.388	24.436000000000003	1.52	0.04
236	segments/	silence					53.736	53.736	24.771000000000004		1.561
237	segments/	word	In	8.0	0.0		55.410000000000004	55.412	26.422000000000004	0.09	0.16
238	segments/	phoneme	ih_B	8.0	0.0	0.0	55.410000000000004	55.412	26.422000000000004	0.09	0.09
239	segments/	phoneme	n_E	8.0	0.0	1.0	55.5	55.5	26.512000000000004	0.18	0.07
240	segments/	word	the	8.0	1.0		55.57	55.568	26.582000000000004	0.25	0.1
241	segments/	phoneme	dh_B	8.0	1.0	0.0	55.57	55.568	26.582000000000004	0.25	0.06
242	segments/	phoneme	iy_E	8.0	1.0	1.0	55.63	55.632	26.642000000000003	0.31	0.04
243	segments/	word	year	8.0	2.0		55.67	55.672	26.682000000000006	0.35	0.26
244	segments/	phoneme	y_B	8.0	2.0	0.0	55.67	55.672	26.682000000000006	0.35	0.08
245	segments/	phoneme	ih_I	8.0	2.0	1.0	55.75	55.748	26.762000000000004	0.43	0.08
246	segments/	phoneme	r_E	8.0	2.0	2.0	55.83	55.828	26.842000000000006	0.51	0.1
247	segments/	word	eighteen	8.0	3.0		55.93	55.928	26.942000000000004	0.61	0.39
248	segments/	phoneme	ey_B	8.0	3.0	0.0	55.93	55.928	26.942000000000004	0.61	0.09
249	segments/	phoneme	t_I	8.0	3.0	1.0	56.02	56.02	27.032000000000004	0.7	0.09
250	segments/	phoneme	iy_I	8.0	3.0	2.0	56.11	56.108	27.122000000000003	0.7899999999999999	0.12
251	segments/	phoneme	n_E	8.0	3.0	3.0	56.23	56.228	27.242000000000004	0.9099999999999999	0.09
252	segments/	word	seventy	8.0	4.0		56.32	56.32	27.332000000000004	1.0	0.44
253	segments/	phoneme	s_B	8.0	4.0	0.0	56.32	56.32	27.332000000000004	1.0	0.07
254	segments/	phoneme	eh_I	8.0	4.0	1.0	56.39	56.388	27.402000000000005	1.07	0.06
255	segments/	phoneme	v_I	8.0	4.0	2.0	56.45	56.452	27.462000000000003	1.1300000000000001	0.05
256	segments/	phoneme	ah_I	8.0	4.0	3.0	56.5	56.5	27.512000000000004	1.1800000000000002	0.02
257	segments/	phoneme	n_I	8.0	4.0	4.0	56.52	56.52	27.532000000000004	1.2000000000000002	0.07
258	segments/	phoneme	t_I	8.0	4.0	5.0	56.59	56.592	27.602000000000004	1.2700000000000002	0.07
259	segments/	phoneme	iy_E	8.0	4.0	6.0	56.660000000000004	56.66	27.672000000000004	1.3400000000000003	0.1
260	segments/	word	eight	8.0	5.0		56.76	56.76	27.772000000000006	1.44	0.34
261	segments/	phoneme	ey_B	8.0	5.0	0.0	56.76	56.76	27.772000000000006	1.44	0.12
262	segments/	phoneme	t_E	8.0	5.0	1.0	56.88	56.88	27.892000000000003	1.56	0.22
263	segments/	silence					57.1	57.1	28.112000000000005	1.78	0.21
264	segments/	word	I	8.0	6.0		57.31	57.312	28.322000000000003	1.99	0.17
265	segments/	phoneme	ay_S	8.0	6.0	0.0	57.31	57.312	28.322000000000003	1.99	0.17
266	segments/	word	took	8.0	7.0		57.480000000000004	57.48	28.492000000000004	2.16	0.21
267	segments/	phoneme	t_B	8.0	7.0	0.0	57.480000000000004	57.48	28.492000000000004	2.16	0.07
268	segments/	phoneme	uh_I	8.0	7.0	1.0	57.55	57.548	28.562000000000005	2.23	0.08
269	segments/	phoneme	k_E	8.0	7.0	2.0	57.63	57.632	28.642000000000003	2.31	0.06
270	segments/	word	my	8.0	8.0		57.69	57.688	28.702000000000005	2.37	0.12
271	segments/	phoneme	m_B	8.0	8.0	0.0	57.69	57.688	28.702000000000005	2.37	0.05
272	segments/	phoneme	ay_E	8.0	8.0	1.0	57.74	57.74	28.752000000000002	2.42	0.07
273	segments/	word	degree	8.0	9.0		57.81	57.812	28.822000000000003	2.49	0.38
274	segments/	phoneme	d_B	8.0	9.0	0.0	57.81	57.812	28.822000000000003	2.49	0.05
275	segments/	phoneme	ih_I	8.0	9.0	1.0	57.86	57.86	28.872000000000003	2.54	0.07
276	segments/	phoneme	g_I	8.0	9.0	2.0	57.93	57.928	28.942000000000004	2.61	0.07
277	segments/	phoneme	r_I	8.0	9.0	3.0	58.0	58.0	29.012000000000004	2.6799999999999997	0.12
278	segments/	phoneme	iy_E	8.0	9.0	4.0	58.12	58.12	29.132000000000005	2.8	0.07
279	segments/	word	of	8.0	10.0		58.19	58.188	29.202000000000005	2.87	0.12
280	segments/	phoneme	ah_B	8.0	10.0	0.0	58.19	58.188	29.202000000000005	2.87	0.05
281	segments/	phoneme	v_E	8.0	10.0	1.0	58.24	58.24	29.252000000000002	2.92	0.07
282	segments/	word	Doctor	8.0	11.0		58.31	58.312	29.322000000000003	2.99	0.32
283	segments/	phoneme	d_B	8.0	11.0	0.0	58.31	58.312	29.322000000000003	2.99	0.06
